country_or_area,year,quantity,category,transaction_type,additional_transaction_info,metrics,calculation_unit
United States,1990,288960.0,hydro,total hydro production,,kilowatt-hours,million
United States,1991,309155.0,hydro,total hydro production,,kilowatt-hours,million
United States,1992,274883.0,hydro,total hydro production,,kilowatt-hours,million
United States,1993,303060.0,hydro,total hydro production,,kilowatt-hours,million
United States,1994,284373.0,hydro,total hydro production,,kilowatt-hours,million
United States,1995,337856.0,hydro,total hydro production,,kilowatt-hours,million
United States,1996,376702.0,hydro,total hydro production,,kilowatt-hours,million
United States,1997,358685.0,hydro,total hydro production,,kilowatt-hours,million
United States,1998,322080.0,hydro,total hydro production,,kilowatt-hours,million
United States,1999,301793.0,hydro,total hydro production,,kilowatt-hours,million
United States,2000,279986.0,hydro,total hydro production,,kilowatt-hours,million
United States,2001,214728.0,hydro,total hydro production,,kilowatt-hours,million
United States,2002,291755.0,hydro,total hydro production,,kilowatt-hours,million
United States,2003,305724.0,hydro,total hydro production,,kilowatt-hours,million
United States,2004,297894.0,hydro,total hydro production,,kilowatt-hours,million
United States,2005,297926.0,hydro,total hydro production,,kilowatt-hours,million
United States,2006,317689.0,hydro,total hydro production,,kilowatt-hours,million
United States,2007,275545.0,hydro,total hydro production,,kilowatt-hours,million
United States,2008,281995.0,hydro,total hydro production,,kilowatt-hours,million
United States,2009,298410.0,hydro,total hydro production,,kilowatt-hours,million
United States,2010,286333.0,hydro,total hydro production,,kilowatt-hours,million
United States,2011,344679.0,hydro,total hydro production,,kilowatt-hours,million
United States,2012,298287.0,hydro,total hydro production,,kilowatt-hours,million
United States,2013,290113.0,hydro,total hydro production,,kilowatt-hours,million
United States,2014,281527.0,hydro,total hydro production,,kilowatt-hours,million
Canada,1990,296848.0,hydro,total hydro production,,kilowatt-hours,million
Canada,1991,308375.0,hydro,total hydro production,,kilowatt-hours,million
Canada,1992,316489.0,hydro,total hydro production,,kilowatt-hours,million
Canada,1993,323667.0,hydro,total hydro production,,kilowatt-hours,million
Canada,1994,329945.0,hydro,total hydro production,,kilowatt-hours,million
Canada,1995,336034.0,hydro,total hydro production,,kilowatt-hours,million
Canada,1996,355758.0,hydro,total hydro production,,kilowatt-hours,million
Canada,1997,350809.0,hydro,total hydro production,,kilowatt-hours,million
Canada,1998,332001.0,hydro,total hydro production,,kilowatt-hours,million
Canada,1999,345874.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2000,358620.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2001,333430.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2002,350665.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2003,337556.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2004,340946.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2005,362031.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2006,352963.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2007,367695.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2008,377561.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2009,368762.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2010,351461.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2011,375797.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2012,380340.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2013,391861.0,hydro,total hydro production,,kilowatt-hours,million
Canada,2014,382574.0,hydro,total hydro production,,kilowatt-hours,million
China,1990,126720.0,hydro,total hydro production,,kilowatt-hours,million
China,1991,125090.0,hydro,total hydro production,,kilowatt-hours,million
China,1992,132470.0,hydro,total hydro production,,kilowatt-hours,million
China,1993,151800.0,hydro,total hydro production,,kilowatt-hours,million
China,1994,168113.0,hydro,total hydro production,,kilowatt-hours,million
China,1995,190577.0,hydro,total hydro production,,kilowatt-hours,million
China,1996,187966.0,hydro,total hydro production,,kilowatt-hours,million
China,1997,195983.0,hydro,total hydro production,,kilowatt-hours,million
China,1998,208000.0,hydro,total hydro production,,kilowatt-hours,million
China,1999,203810.0,hydro,total hydro production,,kilowatt-hours,million
China,2000,222414.0,hydro,total hydro production,,kilowatt-hours,million
China,2001,277432.0,hydro,total hydro production,,kilowatt-hours,million
China,2002,287974.0,hydro,total hydro production,,kilowatt-hours,million
China,2003,283681.0,hydro,total hydro production,,kilowatt-hours,million
China,2004,353544.0,hydro,total hydro production,,kilowatt-hours,million
China,2005,397017.0,hydro,total hydro production,,kilowatt-hours,million
China,2006,435786.0,hydro,total hydro production,,kilowatt-hours,million
China,2007,485264.0,hydro,total hydro production,,kilowatt-hours,million
China,2008,585187.0,hydro,total hydro production,,kilowatt-hours,million
China,2009,615640.0,hydro,total hydro production,,kilowatt-hours,million
China,2010,722172.0,hydro,total hydro production,,kilowatt-hours,million
China,2011,698945.0,hydro,total hydro production,,kilowatt-hours,million
China,2012,872107.0,hydro,total hydro production,,kilowatt-hours,million
China,2013,920291.0,hydro,total hydro production,,kilowatt-hours,million
China,2014,1064337.0,hydro,total hydro production,,kilowatt-hours,million
India,1990,71656.0,hydro,total hydro production,,kilowatt-hours,million
India,1991,72775.0,hydro,total hydro production,,kilowatt-hours,million
India,1992,69886.0,hydro,total hydro production,,kilowatt-hours,million
India,1993,70478.0,hydro,total hydro production,,kilowatt-hours,million
India,1994,82727.0,hydro,total hydro production,,kilowatt-hours,million
India,1995,72596.0,hydro,total hydro production,,kilowatt-hours,million
India,1996,68919.0,hydro,total hydro production,,kilowatt-hours,million
India,1997,74661.0,hydro,total hydro production,,kilowatt-hours,million
India,1998,83003.0,hydro,total hydro production,,kilowatt-hours,million
India,1999,80854.0,hydro,total hydro production,,kilowatt-hours,million
India,2000,74362.0,hydro,total hydro production,,kilowatt-hours,million
India,2001,73579.0,hydro,total hydro production,,kilowatt-hours,million
India,2002,64104.0,hydro,total hydro production,,kilowatt-hours,million
India,2003,75339.0,hydro,total hydro production,,kilowatt-hours,million
India,2004,84723.0,hydro,total hydro production,,kilowatt-hours,million
India,2005,101730.0,hydro,total hydro production,,kilowatt-hours,million
India,2006,113720.0,hydro,total hydro production,,kilowatt-hours,million
India,2007,120589.0,hydro,total hydro production,,kilowatt-hours,million
India,2008,114337.0,hydro,total hydro production,,kilowatt-hours,million
India,2009,106909.0,hydro,total hydro production,,kilowatt-hours,million
India,2010,114486.0,hydro,total hydro production,,kilowatt-hours,million
India,2011,103741.0,hydro,total hydro production,,kilowatt-hours,million
India,2012,113855.0,hydro,total hydro production,,kilowatt-hours,million
India,2013,141637.0,hydro,total hydro production,,kilowatt-hours,million
India,2014,129353.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,1990,7189.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,1991,6147.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,1992,7128.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,1993,5739.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,1994,6557.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,1995,6390.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,1996,4949.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,1997,5655.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,1998,6742.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,1999,8238.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,2000,7780.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,2001,6478.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,2002,7439.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,2003,5961.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,2004,7492.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,2005,7852.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,2006,8446.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,2007,8936.0,hydro,total hydro production,,kilowatt-hours,million
United Kingdom,2008,9234.0,hydro,total hydro production,,kilowatt-hours,million
