country_or_area,year,quantity,category,transaction_type,additional_transaction_info,metrics,calculation_unit
United States,1990,611589.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,1991,649399.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,1992,655970.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,1993,646987.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,1994,678920.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,1995,713806.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,1996,715212.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,1997,666363.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,1998,714124.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,1999,771811.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2000,797718.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2001,792604.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2002,804519.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2003,787818.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2004,813339.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2005,810726.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2006,816195.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2007,836634.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2008,837804.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2009,830210.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2010,838931.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2011,821405.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2012,801129.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2013,822004.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United States,2014,830584.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,1990,72967.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,1991,84930.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,1992,80582.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,1993,93937.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,1994,107834.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,1995,97844.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,1996,92767.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,1997,82528.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,1998,71511.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,1999,73491.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2000,72799.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2001,76695.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2002,75526.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2003,74892.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2004,90387.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2005,92040.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2006,97964.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2007,93482.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2008,96020.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2009,90091.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2010,90658.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2011,93589.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2012,94862.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2013,103439.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
Canada,2014,107678.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,1992,500.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,1993,2500.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,1994,14043.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,1995,12833.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,1996,14300.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,1997,14418.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,1998,14100.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,1999,14950.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2000,16737.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2001,17472.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2002,25127.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2003,43342.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2004,50469.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2005,53088.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2006,54843.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2007,62130.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2008,68394.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2009,70134.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2010,73880.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2011,86350.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2012,97394.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2013,111613.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
China,2014,132538.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,1990,6141.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,1991,5524.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,1992,6726.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,1993,5398.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,1994,5648.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,1995,7982.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,1996,9071.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,1997,10083.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,1998,11923.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,1999,13249.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2000,16902.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2001,19475.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2002,19390.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2003,17780.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2004,17011.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2005,17334.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2006,18802.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2007,16957.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2008,14713.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2009,18636.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2010,26266.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2011,32287.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2012,32871.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2013,34228.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
India,2014,36102.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,1990,65749.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,1991,70543.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,1992,76807.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,1993,89353.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,1994,88282.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,1995,88964.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,1996,94671.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,1997,98146.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,1998,99486.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,1999,95133.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,2000,85063.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,2001,90094.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,2002,87848.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,2003,88686.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,2004,79999.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,2005,81618.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,2006,75451.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,2007,63028.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,2008,52486.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
United Kingdom,2009,69098.0,nuclear_electricity,total nuclear production,,kilowatt-hours,million
