country_or_area,year,quantity,category,transaction_type,additional_transaction_info,metrics,calculation_unit
United States,1990,666.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,1991,782.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,1992,749.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,1993,901.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,1994,828.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,1995,828.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,1996,906.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,1997,897.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,1998,890.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,1999,689.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2000,709.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2001,785.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2002,830.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2003,848.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2004,965.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2005,1120.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2006,1287.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2007,1673.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2008,2091.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2009,2514.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2010,3934.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2011,6153.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2012,10145.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2013,15872.0,solar_electricity,total solar production,,kilowatt-hours,million
United States,2014,24603.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,1992,2.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,1993,3.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,1994,3.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,1995,4.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,1996,6.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,1997,7.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,1998,10.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,1999,13.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2000,16.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2001,19.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2002,22.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2003,23.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2004,13.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2005,17.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2006,21.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2007,26.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2008,35.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2009,5.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2010,117.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2011,260.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2012,319.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2013,1499.0,solar_electricity,total solar production,,kilowatt-hours,million
Canada,2014,1756.0,solar_electricity,total solar production,,kilowatt-hours,million
China,2013,5564.0,solar_electricity,total solar production,,kilowatt-hours,million
China,2014,15189.0,solar_electricity,total solar production,,kilowatt-hours,million
India,2013,3433.0,solar_electricity,total solar production,,kilowatt-hours,million
India,2014,5020.0,solar_electricity,total solar production,,kilowatt-hours,million
United Kingdom,1999,1.0,solar_electricity,total solar production,,kilowatt-hours,million
United Kingdom,2000,1.0,solar_electricity,total solar production,,kilowatt-hours,million
United Kingdom,2001,2.0,solar_electricity,total solar production,,kilowatt-hours,million
United Kingdom,2002,3.0,solar_electricity,total solar production,,kilowatt-hours,million
United Kingdom,2003,3.0,solar_electricity,total solar production,,kilowatt-hours,million
United Kingdom,2004,4.0,solar_electricity,total solar production,,kilowatt-hours,million
