country_or_area,year,quantity,category,transaction_type,additional_transaction_info,metrics,calculation_unit
Viet Nam,2014,5186.82,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2013,5074.49644,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2012,4621.3923,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2011,3437.54612,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2010,2774.423,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2009,3157.70446,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2008,3194.8,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2007,3751.84924,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2006,3244.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2005,2851.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2004,3488.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2003,3179.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2002,2901.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2001,2771.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2000,3767.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,1999,2862.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,1998,2142.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,1997,1821.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,1996,1793.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,1995,1712.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,1994,1548.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,1993,1663.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,1992,1614.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,1991,1548.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,1990,1516.0,bagasse,"consumption by manufacturing, construction and non-fuel industry",,metric tons,thousand
Viet Nam,2014,5186.82,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2013,5074.49644,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2012,4621.3923,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2011,3437.54612,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2010,2774.423,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2009,3157.70446,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2008,3194.8,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2007,3751.84924,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2006,3244.0,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2005,2851.0,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2004,3488.0,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
Viet Nam,2003,3179.0,bagasse,"consumption by other manuf., const. and non-fuel ind.",,metric tons,thousand
