country_or_area,year,quantity,category,transaction_type,additional_transaction_info,metrics,calculation_unit
France,1993,2.0,wind_electricity,total wind production,,kilowatt-hours,million
France,1994,5.0,wind_electricity,total wind production,,kilowatt-hours,million
France,1995,5.0,wind_electricity,total wind production,,kilowatt-hours,million
France,1996,7.0,wind_electricity,total wind production,,kilowatt-hours,million
France,1997,11.0,wind_electricity,total wind production,,kilowatt-hours,million
France,1998,19.0,wind_electricity,total wind production,,kilowatt-hours,million
France,1999,37.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2000,48.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2001,131.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2002,265.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2003,388.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2004,595.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2005,962.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2006,2182.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2007,4070.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2008,5694.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2009,7912.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2010,9945.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2011,12051.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2012,14914.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2013,16034.0,wind_electricity,total wind production,,kilowatt-hours,million
France,2014,17249.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,1991,215.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,1992,291.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,1993,674.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,1994,1428.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,1995,1712.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,1996,2078.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,1997,3034.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,1998,4593.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,1999,5528.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2000,9352.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2001,10456.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2002,15856.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2003,18713.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2004,25509.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2005,27229.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2006,30710.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2007,39713.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2008,40574.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2009,38647.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2010,37793.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2011,48883.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2012,50670.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2013,51708.0,wind_electricity,total wind production,,kilowatt-hours,million
Germany,2014,57357.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,1990,2.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,1991,3.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,1992,2.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,1993,4.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,1994,7.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,1995,9.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,1996,33.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,1997,118.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,1998,231.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,1999,403.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2000,563.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2001,1179.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2002,1404.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2003,1458.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2004,1847.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2005,2344.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2006,2971.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2007,4034.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2008,4861.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2009,6543.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2010,9126.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2011,9856.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2012,13407.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2013,14897.0,wind_electricity,total wind production,,kilowatt-hours,million
Italy,2014,15178.0,wind_electricity,total wind production,,kilowatt-hours,million
Netherlands,1990,56.0,wind_electricity,total wind production,,kilowatt-hours,million
Netherlands,1991,88.0,wind_electricity,total wind production,,kilowatt-hours,million
